Batch size  8 CPU 0.000004 GPU 0.000300 CPU/GPU 0.014654
Batch size  16 CPU 0.000009 GPU 0.000329 CPU/GPU 0.028392
Batch size  24 CPU 0.000012 GPU 0.000335 CPU/GPU 0.036970
Batch size  32 CPU 0.000016 GPU 0.000308 CPU/GPU 0.051298
Batch size  40 CPU 0.000020 GPU 0.000330 CPU/GPU 0.060412
Batch size  48 CPU 0.000023 GPU 0.000310 CPU/GPU 0.074559
Batch size  56 CPU 0.000026 GPU 0.000331 CPU/GPU 0.078928
Batch size  64 CPU 0.000031 GPU 0.000316 CPU/GPU 0.097473
Batch size  72 CPU 0.000035 GPU 0.000336 CPU/GPU 0.103973
Batch size  80 CPU 0.000038 GPU 0.000316 CPU/GPU 0.119229
Batch size  88 CPU 0.000042 GPU 0.000338 CPU/GPU 0.123189
Batch size  96 CPU 0.000046 GPU 0.000330 CPU/GPU 0.138294
Batch size  104 CPU 0.000048 GPU 0.000307 CPU/GPU 0.154698
Batch size  112 CPU 0.000054 GPU 0.000337 CPU/GPU 0.160689
Batch size  120 CPU 0.000057 GPU 0.000317 CPU/GPU 0.180593
Batch size  128 CPU 0.000060 GPU 0.000308 CPU/GPU 0.193493
Batch size  136 CPU 0.000071 GPU 0.000348 CPU/GPU 0.204789
Batch size  144 CPU 0.000068 GPU 0.000307 CPU/GPU 0.223313
Batch size  152 CPU 0.000069 GPU 0.000378 CPU/GPU 0.182764
Batch size  160 CPU 0.000074 GPU 0.000314 CPU/GPU 0.236505
Batch size  168 CPU 0.000078 GPU 0.000118 CPU/GPU 0.660913
Batch size  176 CPU 0.000080 GPU 0.000313 CPU/GPU 0.255717
Batch size  184 CPU 0.000085 GPU 0.000310 CPU/GPU 0.274856
Batch size  192 CPU 0.000089 GPU 0.000337 CPU/GPU 0.264760
Batch size  200 CPU 0.000102 GPU 0.000316 CPU/GPU 0.321199
Batch size  208 CPU 0.000097 GPU 0.000318 CPU/GPU 0.304762
Batch size  216 CPU 0.000107 GPU 0.000316 CPU/GPU 0.338515
Batch size  224 CPU 0.000104 GPU 0.000335 CPU/GPU 0.310605
Batch size  232 CPU 0.000107 GPU 0.000336 CPU/GPU 0.319607
Batch size  240 CPU 0.000112 GPU 0.000326 CPU/GPU 0.343139
Batch size  248 CPU 0.000116 GPU 0.000307 CPU/GPU 0.378485
Batch size  256 CPU 0.000119 GPU 0.000334 CPU/GPU 0.355852
Batch size  264 CPU 0.000122 GPU 0.000316 CPU/GPU 0.387820
Batch size  272 CPU 0.000126 GPU 0.000316 CPU/GPU 0.398774
Batch size  280 CPU 0.000128 GPU 0.000315 CPU/GPU 0.407228
Batch size  288 CPU 0.000134 GPU 0.000332 CPU/GPU 0.404340
Batch size  296 CPU 0.000135 GPU 0.000309 CPU/GPU 0.437550
Batch size  304 CPU 0.000142 GPU 0.000332 CPU/GPU 0.427190
Batch size  312 CPU 0.000145 GPU 0.000324 CPU/GPU 0.447015
Batch size  320 CPU 0.000154 GPU 0.000320 CPU/GPU 0.482268
Batch size  328 CPU 0.000153 GPU 0.000326 CPU/GPU 0.468408
Batch size  336 CPU 0.000153 GPU 0.000316 CPU/GPU 0.485633
Batch size  344 CPU 0.000159 GPU 0.000320 CPU/GPU 0.497099
Batch size  352 CPU 0.000169 GPU 0.000335 CPU/GPU 0.503312
Batch size  360 CPU 0.000170 GPU 0.000318 CPU/GPU 0.533383
Batch size  368 CPU 0.000168 GPU 0.000390 CPU/GPU 0.429760
Batch size  376 CPU 0.000180 GPU 0.000329 CPU/GPU 0.547025
Batch size  384 CPU 0.000177 GPU 0.000309 CPU/GPU 0.574867
Batch size  392 CPU 0.000184 GPU 0.000333 CPU/GPU 0.553125
Batch size  400 CPU 0.000187 GPU 0.000316 CPU/GPU 0.590888
Batch size  408 CPU 0.000184 GPU 0.000342 CPU/GPU 0.538019
Batch size  416 CPU 0.000202 GPU 0.000306 CPU/GPU 0.658181
Batch size  424 CPU 0.000195 GPU 0.000339 CPU/GPU 0.574670
Batch size  432 CPU 0.000197 GPU 0.000309 CPU/GPU 0.636963
Batch size  440 CPU 0.000204 GPU 0.000316 CPU/GPU 0.646208
Batch size  448 CPU 0.000206 GPU 0.000339 CPU/GPU 0.607930
Batch size  456 CPU 0.000218 GPU 0.000319 CPU/GPU 0.682990
Batch size  464 CPU 0.000213 GPU 0.000339 CPU/GPU 0.629316
Batch size  472 CPU 0.000215 GPU 0.000310 CPU/GPU 0.695327
Batch size  480 CPU 0.000234 GPU 0.000323 CPU/GPU 0.723986
Batch size  488 CPU 0.000223 GPU 0.000313 CPU/GPU 0.712672
Batch size  496 CPU 0.000225 GPU 0.000330 CPU/GPU 0.681206
Batch size  504 CPU 0.000243 GPU 0.000320 CPU/GPU 0.758824
Batch size  512 CPU 0.000233 GPU 0.000318 CPU/GPU 0.732295
Batch size  520 CPU 0.000240 GPU 0.000310 CPU/GPU 0.774799
Batch size  528 CPU 0.000252 GPU 0.000321 CPU/GPU 0.783154
Batch size  536 CPU 0.000253 GPU 0.000339 CPU/GPU 0.747010
Batch size  544 CPU 0.000260 GPU 0.000338 CPU/GPU 0.770153
Batch size  552 CPU 0.000262 GPU 0.000332 CPU/GPU 0.788393
Batch size  560 CPU 0.000272 GPU 0.000320 CPU/GPU 0.849242
Batch size  568 CPU 0.000270 GPU 0.000317 CPU/GPU 0.852870
Batch size  576 CPU 0.000275 GPU 0.000309 CPU/GPU 0.890753
Batch size  584 CPU 0.000282 GPU 0.000387 CPU/GPU 0.727154
Batch size  592 CPU 0.000283 GPU 0.000343 CPU/GPU 0.823221
Batch size  600 CPU 0.000290 GPU 0.000121 CPU/GPU 2.388362
Batch size  608 CPU 0.000278 GPU 0.000354 CPU/GPU 0.783665
Batch size  616 CPU 0.000286 GPU 0.000338 CPU/GPU 0.846006
Batch size  624 CPU 0.000286 GPU 0.000326 CPU/GPU 0.876227
Batch size  632 CPU 0.000290 GPU 0.000333 CPU/GPU 0.869836
Batch size  640 CPU 0.000292 GPU 0.000321 CPU/GPU 0.907270
Batch size  648 CPU 0.000295 GPU 0.000311 CPU/GPU 0.949999
Batch size  656 CPU 0.000298 GPU 0.000343 CPU/GPU 0.868495
Batch size  664 CPU 0.000302 GPU 0.000346 CPU/GPU 0.872595
Batch size  672 CPU 0.000310 GPU 0.000321 CPU/GPU 0.965938
Batch size  680 CPU 0.000312 GPU 0.000320 CPU/GPU 0.975046
Batch size  688 CPU 0.000322 GPU 0.000319 CPU/GPU 1.007819
Batch size  696 CPU 0.000315 GPU 0.000323 CPU/GPU 0.977055
Batch size  704 CPU 0.000333 GPU 0.000334 CPU/GPU 0.997159
Batch size  712 CPU 0.000333 GPU 0.000345 CPU/GPU 0.964532
Batch size  720 CPU 0.000339 GPU 0.000328 CPU/GPU 1.034727
Batch size  728 CPU 0.000339 GPU 0.000324 CPU/GPU 1.045307
Batch size  736 CPU 0.000335 GPU 0.000314 CPU/GPU 1.067286
Batch size  744 CPU 0.000345 GPU 0.000318 CPU/GPU 1.085147
Batch size  752 CPU 0.000343 GPU 0.000372 CPU/GPU 0.921009
Batch size  760 CPU 0.000347 GPU 0.000315 CPU/GPU 1.104336
Batch size  768 CPU 0.000360 GPU 0.000314 CPU/GPU 1.145665
Batch size  776 CPU 0.000369 GPU 0.000351 CPU/GPU 1.051862
Batch size  784 CPU 0.000371 GPU 0.000324 CPU/GPU 1.143762
Batch size  792 CPU 0.000368 GPU 0.000319 CPU/GPU 1.154969
Batch size  800 CPU 0.000377 GPU 0.000381 CPU/GPU 0.990963
Batch size  808 CPU 0.000382 GPU 0.000346 CPU/GPU 1.101808
Batch size  816 CPU 0.000382 GPU 0.000317 CPU/GPU 1.205092
Batch size  824 CPU 0.000386 GPU 0.000362 CPU/GPU 1.065200
Batch size  832 CPU 0.000396 GPU 0.000325 CPU/GPU 1.221573
Batch size  840 CPU 0.000392 GPU 0.000313 CPU/GPU 1.253786
Batch size  848 CPU 0.000394 GPU 0.000348 CPU/GPU 1.133951
