Batch size  128 CPU 0.000001 GPU 0.000029 CPU/GPU 0.047531
Batch size  256 CPU 0.000003 GPU 0.000029 CPU/GPU 0.095518
Batch size  384 CPU 0.000004 GPU 0.000029 CPU/GPU 0.140125
Batch size  512 CPU 0.000005 GPU 0.000029 CPU/GPU 0.187142
Batch size  640 CPU 0.000007 GPU 0.000028 CPU/GPU 0.235790
Batch size  768 CPU 0.000008 GPU 0.000029 CPU/GPU 0.275185
Batch size  896 CPU 0.000009 GPU 0.000029 CPU/GPU 0.327385
Batch size  1024 CPU 0.000011 GPU 0.000029 CPU/GPU 0.368583
Batch size  1152 CPU 0.000012 GPU 0.000029 CPU/GPU 0.418307
Batch size  1280 CPU 0.000013 GPU 0.000030 CPU/GPU 0.452433
Batch size  1408 CPU 0.000015 GPU 0.000029 CPU/GPU 0.500527
Batch size  1536 CPU 0.000016 GPU 0.000029 CPU/GPU 0.554360
Batch size  1664 CPU 0.000017 GPU 0.000029 CPU/GPU 0.599747
Batch size  1792 CPU 0.000019 GPU 0.000029 CPU/GPU 0.647453
Batch size  1920 CPU 0.000020 GPU 0.000029 CPU/GPU 0.683968
Batch size  2048 CPU 0.000021 GPU 0.000029 CPU/GPU 0.727600
Batch size  2176 CPU 0.000023 GPU 0.000030 CPU/GPU 0.765417
Batch size  2304 CPU 0.000024 GPU 0.000030 CPU/GPU 0.803580
Batch size  2432 CPU 0.000025 GPU 0.000029 CPU/GPU 0.859095
Batch size  2560 CPU 0.000027 GPU 0.000030 CPU/GPU 0.899366
Batch size  2688 CPU 0.000028 GPU 0.000030 CPU/GPU 0.945714
Batch size  2816 CPU 0.000029 GPU 0.000030 CPU/GPU 0.981597
Batch size  2944 CPU 0.000031 GPU 0.000029 CPU/GPU 1.058063
Batch size  3072 CPU 0.000032 GPU 0.000030 CPU/GPU 1.081285
Batch size  3200 CPU 0.000033 GPU 0.000030 CPU/GPU 1.120762
Batch size  3328 CPU 0.000035 GPU 0.000030 CPU/GPU 1.158373
Batch size  3456 CPU 0.000036 GPU 0.000030 CPU/GPU 1.201945
Batch size  3584 CPU 0.000037 GPU 0.000030 CPU/GPU 1.239561
Batch size  3712 CPU 0.000039 GPU 0.000030 CPU/GPU 1.280230
Batch size  3840 CPU 0.000040 GPU 0.000031 CPU/GPU 1.287121
Batch size  3968 CPU 0.000041 GPU 0.000031 CPU/GPU 1.338039
Batch size  4096 CPU 0.000043 GPU 0.000030 CPU/GPU 1.405304
Batch size  4224 CPU 0.000044 GPU 0.000030 CPU/GPU 1.478671
Batch size  4352 CPU 0.000045 GPU 0.000030 CPU/GPU 1.484660
