Batch size  128 CPU 0.000001 GPU 0.000034 CPU/GPU 0.022329
Batch size  256 CPU 0.000001 GPU 0.000033 CPU/GPU 0.044479
Batch size  384 CPU 0.000002 GPU 0.000039 CPU/GPU 0.056367
Batch size  512 CPU 0.000003 GPU 0.000038 CPU/GPU 0.076069
Batch size  640 CPU 0.000004 GPU 0.000037 CPU/GPU 0.096338
Batch size  768 CPU 0.000004 GPU 0.000033 CPU/GPU 0.130954
Batch size  896 CPU 0.000005 GPU 0.000028 CPU/GPU 0.180301
Batch size  1024 CPU 0.000006 GPU 0.000027 CPU/GPU 0.209026
Batch size  1152 CPU 0.000006 GPU 0.000026 CPU/GPU 0.243357
Batch size  1280 CPU 0.000007 GPU 0.000026 CPU/GPU 0.277277
Batch size  1408 CPU 0.000008 GPU 0.000025 CPU/GPU 0.308529
Batch size  1536 CPU 0.000009 GPU 0.000032 CPU/GPU 0.263412
Batch size  1664 CPU 0.000009 GPU 0.000032 CPU/GPU 0.291319
Batch size  1792 CPU 0.000010 GPU 0.000032 CPU/GPU 0.314599
Batch size  1920 CPU 0.000011 GPU 0.000031 CPU/GPU 0.339100
Batch size  2048 CPU 0.000011 GPU 0.000032 CPU/GPU 0.356657
Batch size  2176 CPU 0.000012 GPU 0.000032 CPU/GPU 0.377899
Batch size  2304 CPU 0.000013 GPU 0.000032 CPU/GPU 0.400542
Batch size  2432 CPU 0.000013 GPU 0.000032 CPU/GPU 0.426148
Batch size  2560 CPU 0.000014 GPU 0.000032 CPU/GPU 0.444537
Batch size  2688 CPU 0.000015 GPU 0.000032 CPU/GPU 0.464161
Batch size  2816 CPU 0.000016 GPU 0.000032 CPU/GPU 0.490510
Batch size  2944 CPU 0.000016 GPU 0.000034 CPU/GPU 0.473549
Batch size  3072 CPU 0.000017 GPU 0.000035 CPU/GPU 0.485933
Batch size  3200 CPU 0.000018 GPU 0.000035 CPU/GPU 0.503302
Batch size  3328 CPU 0.000018 GPU 0.000035 CPU/GPU 0.532875
Batch size  3456 CPU 0.000019 GPU 0.000035 CPU/GPU 0.552804
Batch size  3584 CPU 0.000020 GPU 0.000035 CPU/GPU 0.578558
Batch size  3712 CPU 0.000020 GPU 0.000032 CPU/GPU 0.634884
Batch size  3840 CPU 0.000021 GPU 0.000032 CPU/GPU 0.661474
Batch size  3968 CPU 0.000022 GPU 0.000032 CPU/GPU 0.675527
Batch size  4096 CPU 0.000023 GPU 0.000033 CPU/GPU 0.691548
Batch size  4224 CPU 0.000023 GPU 0.000032 CPU/GPU 0.721843
Batch size  4352 CPU 0.000024 GPU 0.000032 CPU/GPU 0.745888
Batch size  4480 CPU 0.000025 GPU 0.000033 CPU/GPU 0.758142
Batch size  4608 CPU 0.000025 GPU 0.000033 CPU/GPU 0.772768
Batch size  4736 CPU 0.000026 GPU 0.000032 CPU/GPU 0.810448
Batch size  4864 CPU 0.000027 GPU 0.000033 CPU/GPU 0.821095
Batch size  4992 CPU 0.000028 GPU 0.000033 CPU/GPU 0.838282
Batch size  5120 CPU 0.000028 GPU 0.000032 CPU/GPU 0.870449
Batch size  5248 CPU 0.000029 GPU 0.000033 CPU/GPU 0.883316
Batch size  5376 CPU 0.000030 GPU 0.000033 CPU/GPU 0.903874
Batch size  5504 CPU 0.000030 GPU 0.000033 CPU/GPU 0.919965
Batch size  5632 CPU 0.000031 GPU 0.000033 CPU/GPU 0.947015
Batch size  5760 CPU 0.000032 GPU 0.000033 CPU/GPU 0.970228
Batch size  5888 CPU 0.000032 GPU 0.000033 CPU/GPU 0.973832
Batch size  6016 CPU 0.000033 GPU 0.000033 CPU/GPU 0.999347
Batch size  6144 CPU 0.000034 GPU 0.000033 CPU/GPU 1.024063
Batch size  6272 CPU 0.000035 GPU 0.000033 CPU/GPU 1.047817
Batch size  6400 CPU 0.000035 GPU 0.000033 CPU/GPU 1.059412
Batch size  6528 CPU 0.000036 GPU 0.000033 CPU/GPU 1.084352
Batch size  6656 CPU 0.000037 GPU 0.000033 CPU/GPU 1.109759
Batch size  6784 CPU 0.000037 GPU 0.000033 CPU/GPU 1.124304
Batch size  6912 CPU 0.000038 GPU 0.000033 CPU/GPU 1.137294
Batch size  7040 CPU 0.000039 GPU 0.000033 CPU/GPU 1.170283
Batch size  7168 CPU 0.000040 GPU 0.000033 CPU/GPU 1.189941
Batch size  7296 CPU 0.000040 GPU 0.000034 CPU/GPU 1.190012
Batch size  7424 CPU 0.000041 GPU 0.000033 CPU/GPU 1.223509
Batch size  7552 CPU 0.000042 GPU 0.000034 CPU/GPU 1.236327
Batch size  7680 CPU 0.000042 GPU 0.000033 CPU/GPU 1.265595
Batch size  7808 CPU 0.000043 GPU 0.000034 CPU/GPU 1.274831
Batch size  7936 CPU 0.000044 GPU 0.000034 CPU/GPU 1.292756
Batch size  8064 CPU 0.000044 GPU 0.000033 CPU/GPU 1.327252
Batch size  8192 CPU 0.000045 GPU 0.000034 CPU/GPU 1.340013
Batch size  8320 CPU 0.000046 GPU 0.000034 CPU/GPU 1.349766
Batch size  8448 CPU 0.000047 GPU 0.000034 CPU/GPU 1.389288
Batch size  8576 CPU 0.000047 GPU 0.000034 CPU/GPU 1.390950
Batch size  8704 CPU 0.000048 GPU 0.000034 CPU/GPU 1.412244
Batch size  8832 CPU 0.000049 GPU 0.000034 CPU/GPU 1.420190
Batch size  8960 CPU 0.000049 GPU 0.000034 CPU/GPU 1.463496
Batch size  9088 CPU 0.000050 GPU 0.000034 CPU/GPU 1.477000
Batch size  9216 CPU 0.000051 GPU 0.000034 CPU/GPU 1.480990
Batch size  9344 CPU 0.000051 GPU 0.000034 CPU/GPU 1.499660
Batch size  9472 CPU 0.000052 GPU 0.000034 CPU/GPU 1.541915
Batch size  9600 CPU 0.000053 GPU 0.000034 CPU/GPU 1.548351
Batch size  9728 CPU 0.000054 GPU 0.000034 CPU/GPU 1.556184
Batch size  9856 CPU 0.000054 GPU 0.000034 CPU/GPU 1.576920
Batch size  9984 CPU 0.000055 GPU 0.000034 CPU/GPU 1.612943
Batch size  10112 CPU 0.000056 GPU 0.000035 CPU/GPU 1.609495
Batch size  10240 CPU 0.000056 GPU 0.000034 CPU/GPU 1.637461
Batch size  10368 CPU 0.000057 GPU 0.000034 CPU/GPU 1.668117
Batch size  10496 CPU 0.000058 GPU 0.000034 CPU/GPU 1.677814
Batch size  10624 CPU 0.000058 GPU 0.000035 CPU/GPU 1.687874
Batch size  10752 CPU 0.000059 GPU 0.000035 CPU/GPU 1.706156
