# DEPTH		nogoto		handopt		goto
1			48198928	49436252	70863608
3			135482096	144956656	185999952
5			240480400	260082304	300750112
7			409634048	371835552	418378400
11			898920896	603953280	645259520
20 			3122958080	1091897088	1149248896
