Batch size  8 CPU 0.000000 GPU 0.000018 CPU/GPU 0.011187
Batch size  16 CPU 0.000000 GPU 0.000017 CPU/GPU 0.012637
Batch size  24 CPU 0.000000 GPU 0.000017 CPU/GPU 0.017403
Batch size  32 CPU 0.000000 GPU 0.000017 CPU/GPU 0.019810
Batch size  40 CPU 0.000000 GPU 0.000017 CPU/GPU 0.023839
Batch size  48 CPU 0.000000 GPU 0.000017 CPU/GPU 0.026641
Batch size  56 CPU 0.000001 GPU 0.000017 CPU/GPU 0.030365
Batch size  64 CPU 0.000001 GPU 0.000018 CPU/GPU 0.033833
Batch size  72 CPU 0.000001 GPU 0.000017 CPU/GPU 0.036473
Batch size  80 CPU 0.000001 GPU 0.000017 CPU/GPU 0.041768
Batch size  88 CPU 0.000001 GPU 0.000018 CPU/GPU 0.044018
Batch size  96 CPU 0.000001 GPU 0.000017 CPU/GPU 0.048476
Batch size  104 CPU 0.000001 GPU 0.000017 CPU/GPU 0.052694
Batch size  112 CPU 0.000001 GPU 0.000017 CPU/GPU 0.055045
Batch size  120 CPU 0.000001 GPU 0.000017 CPU/GPU 0.059058
Batch size  128 CPU 0.000001 GPU 0.000017 CPU/GPU 0.062562
Batch size  136 CPU 0.000001 GPU 0.000017 CPU/GPU 0.067218
Batch size  144 CPU 0.000001 GPU 0.000017 CPU/GPU 0.070099
Batch size  152 CPU 0.000001 GPU 0.000017 CPU/GPU 0.073293
Batch size  160 CPU 0.000001 GPU 0.000017 CPU/GPU 0.077323
Batch size  168 CPU 0.000001 GPU 0.000017 CPU/GPU 0.080908
Batch size  176 CPU 0.000001 GPU 0.000017 CPU/GPU 0.087036
Batch size  184 CPU 0.000002 GPU 0.000017 CPU/GPU 0.089670
Batch size  192 CPU 0.000002 GPU 0.000017 CPU/GPU 0.094639
Batch size  200 CPU 0.000002 GPU 0.000017 CPU/GPU 0.097260
Batch size  208 CPU 0.000002 GPU 0.000017 CPU/GPU 0.099428
Batch size  216 CPU 0.000002 GPU 0.000017 CPU/GPU 0.102305
Batch size  224 CPU 0.000002 GPU 0.000017 CPU/GPU 0.109934
Batch size  232 CPU 0.000002 GPU 0.000017 CPU/GPU 0.113901
Batch size  240 CPU 0.000002 GPU 0.000017 CPU/GPU 0.120208
Batch size  248 CPU 0.000002 GPU 0.000017 CPU/GPU 0.119209
Batch size  256 CPU 0.000002 GPU 0.000017 CPU/GPU 0.126020
Batch size  264 CPU 0.000002 GPU 0.000017 CPU/GPU 0.130591
Batch size  272 CPU 0.000002 GPU 0.000017 CPU/GPU 0.132298
Batch size  280 CPU 0.000002 GPU 0.000018 CPU/GPU 0.133312
Batch size  288 CPU 0.000002 GPU 0.000020 CPU/GPU 0.121676
Batch size  296 CPU 0.000002 GPU 0.000017 CPU/GPU 0.145434
Batch size  304 CPU 0.000003 GPU 0.000018 CPU/GPU 0.140865
Batch size  312 CPU 0.000003 GPU 0.000018 CPU/GPU 0.144815
Batch size  320 CPU 0.000003 GPU 0.000018 CPU/GPU 0.150168
Batch size  328 CPU 0.000003 GPU 0.000018 CPU/GPU 0.151736
Batch size  336 CPU 0.000003 GPU 0.000018 CPU/GPU 0.154796
Batch size  344 CPU 0.000003 GPU 0.000018 CPU/GPU 0.159639
Batch size  352 CPU 0.000003 GPU 0.000018 CPU/GPU 0.165583
Batch size  360 CPU 0.000003 GPU 0.000018 CPU/GPU 0.166201
Batch size  368 CPU 0.000003 GPU 0.000017 CPU/GPU 0.179710
Batch size  376 CPU 0.000003 GPU 0.000017 CPU/GPU 0.186256
Batch size  384 CPU 0.000003 GPU 0.000017 CPU/GPU 0.189340
Batch size  392 CPU 0.000003 GPU 0.000017 CPU/GPU 0.193002
Batch size  400 CPU 0.000003 GPU 0.000017 CPU/GPU 0.195451
Batch size  408 CPU 0.000003 GPU 0.000018 CPU/GPU 0.186750
Batch size  416 CPU 0.000003 GPU 0.000017 CPU/GPU 0.203746
Batch size  424 CPU 0.000004 GPU 0.000017 CPU/GPU 0.206051
Batch size  432 CPU 0.000004 GPU 0.000017 CPU/GPU 0.210248
Batch size  440 CPU 0.000004 GPU 0.000017 CPU/GPU 0.217442
Batch size  448 CPU 0.000004 GPU 0.000017 CPU/GPU 0.220033
Batch size  456 CPU 0.000004 GPU 0.000017 CPU/GPU 0.223012
Batch size  464 CPU 0.000004 GPU 0.000017 CPU/GPU 0.227689
Batch size  472 CPU 0.000004 GPU 0.000017 CPU/GPU 0.222635
Batch size  480 CPU 0.000004 GPU 0.000017 CPU/GPU 0.228039
Batch size  488 CPU 0.000004 GPU 0.000017 CPU/GPU 0.231114
Batch size  496 CPU 0.000004 GPU 0.000017 CPU/GPU 0.236465
Batch size  504 CPU 0.000004 GPU 0.000017 CPU/GPU 0.240329
Batch size  512 CPU 0.000004 GPU 0.000017 CPU/GPU 0.243599
Batch size  520 CPU 0.000004 GPU 0.000017 CPU/GPU 0.248220
Batch size  528 CPU 0.000004 GPU 0.000017 CPU/GPU 0.251839
Batch size  536 CPU 0.000004 GPU 0.000017 CPU/GPU 0.256725
Batch size  544 CPU 0.000004 GPU 0.000017 CPU/GPU 0.260315
Batch size  552 CPU 0.000004 GPU 0.000017 CPU/GPU 0.263906
Batch size  560 CPU 0.000004 GPU 0.000017 CPU/GPU 0.267126
Batch size  568 CPU 0.000006 GPU 0.000017 CPU/GPU 0.332689
Batch size  576 CPU 0.000005 GPU 0.000017 CPU/GPU 0.274344
Batch size  584 CPU 0.000005 GPU 0.000017 CPU/GPU 0.282579
Batch size  592 CPU 0.000005 GPU 0.000017 CPU/GPU 0.285787
Batch size  600 CPU 0.000005 GPU 0.000017 CPU/GPU 0.285164
Batch size  608 CPU 0.000005 GPU 0.000017 CPU/GPU 0.288296
Batch size  616 CPU 0.000005 GPU 0.000017 CPU/GPU 0.294247
Batch size  624 CPU 0.000005 GPU 0.000017 CPU/GPU 0.295673
Batch size  632 CPU 0.000005 GPU 0.000017 CPU/GPU 0.298827
Batch size  640 CPU 0.000005 GPU 0.000017 CPU/GPU 0.303940
Batch size  648 CPU 0.000006 GPU 0.000017 CPU/GPU 0.368129
Batch size  656 CPU 0.000005 GPU 0.000017 CPU/GPU 0.308754
Batch size  664 CPU 0.000005 GPU 0.000017 CPU/GPU 0.315066
Batch size  672 CPU 0.000005 GPU 0.000017 CPU/GPU 0.318484
Batch size  680 CPU 0.000005 GPU 0.000017 CPU/GPU 0.327364
Batch size  688 CPU 0.000006 GPU 0.000017 CPU/GPU 0.326420
Batch size  696 CPU 0.000006 GPU 0.000017 CPU/GPU 0.330484
Batch size  704 CPU 0.000006 GPU 0.000017 CPU/GPU 0.334830
Batch size  712 CPU 0.000007 GPU 0.000017 CPU/GPU 0.398177
Batch size  720 CPU 0.000007 GPU 0.000017 CPU/GPU 0.400975
Batch size  728 CPU 0.000007 GPU 0.000017 CPU/GPU 0.400857
Batch size  736 CPU 0.000007 GPU 0.000017 CPU/GPU 0.405523
Batch size  744 CPU 0.000007 GPU 0.000017 CPU/GPU 0.411405
Batch size  752 CPU 0.000007 GPU 0.000017 CPU/GPU 0.412780
Batch size  760 CPU 0.000007 GPU 0.000017 CPU/GPU 0.416158
Batch size  768 CPU 0.000007 GPU 0.000017 CPU/GPU 0.422408
Batch size  776 CPU 0.000007 GPU 0.000017 CPU/GPU 0.423115
Batch size  784 CPU 0.000007 GPU 0.000017 CPU/GPU 0.431161
Batch size  792 CPU 0.000007 GPU 0.000017 CPU/GPU 0.435409
Batch size  800 CPU 0.000008 GPU 0.000017 CPU/GPU 0.452363
Batch size  808 CPU 0.000007 GPU 0.000017 CPU/GPU 0.445008
Batch size  816 CPU 0.000007 GPU 0.000017 CPU/GPU 0.448007
Batch size  824 CPU 0.000008 GPU 0.000022 CPU/GPU 0.344612
Batch size  832 CPU 0.000008 GPU 0.000017 CPU/GPU 0.459928
Batch size  840 CPU 0.000008 GPU 0.000017 CPU/GPU 0.456944
Batch size  848 CPU 0.000008 GPU 0.000017 CPU/GPU 0.452745
Batch size  856 CPU 0.000008 GPU 0.000017 CPU/GPU 0.460091
Batch size  864 CPU 0.000008 GPU 0.000017 CPU/GPU 0.461067
Batch size  872 CPU 0.000008 GPU 0.000017 CPU/GPU 0.463619
Batch size  880 CPU 0.000008 GPU 0.000017 CPU/GPU 0.489898
Batch size  888 CPU 0.000008 GPU 0.000017 CPU/GPU 0.475804
Batch size  896 CPU 0.000008 GPU 0.000017 CPU/GPU 0.482346
Batch size  904 CPU 0.000008 GPU 0.000017 CPU/GPU 0.486729
Batch size  912 CPU 0.000008 GPU 0.000017 CPU/GPU 0.485571
Batch size  920 CPU 0.000008 GPU 0.000017 CPU/GPU 0.488069
Batch size  928 CPU 0.000008 GPU 0.000017 CPU/GPU 0.492629
Batch size  936 CPU 0.000008 GPU 0.000017 CPU/GPU 0.500457
Batch size  944 CPU 0.000009 GPU 0.000017 CPU/GPU 0.500939
Batch size  952 CPU 0.000009 GPU 0.000017 CPU/GPU 0.505662
Batch size  960 CPU 0.000009 GPU 0.000017 CPU/GPU 0.502337
Batch size  968 CPU 0.000009 GPU 0.000017 CPU/GPU 0.512264
Batch size  976 CPU 0.000009 GPU 0.000017 CPU/GPU 0.513906
Batch size  984 CPU 0.000009 GPU 0.000017 CPU/GPU 0.513333
Batch size  992 CPU 0.000009 GPU 0.000017 CPU/GPU 0.526120
Batch size  1000 CPU 0.000009 GPU 0.000017 CPU/GPU 0.527212
Batch size  1008 CPU 0.000009 GPU 0.000017 CPU/GPU 0.531034
Batch size  1016 CPU 0.000009 GPU 0.000017 CPU/GPU 0.536511
Batch size  1024 CPU 0.000010 GPU 0.000017 CPU/GPU 0.564568
Batch size  1032 CPU 0.000008 GPU 0.000017 CPU/GPU 0.476464
Batch size  1040 CPU 0.000009 GPU 0.000017 CPU/GPU 0.549665
Batch size  1048 CPU 0.000009 GPU 0.000017 CPU/GPU 0.547175
Batch size  1056 CPU 0.000009 GPU 0.000017 CPU/GPU 0.557150
Batch size  1064 CPU 0.000010 GPU 0.000017 CPU/GPU 0.557454
Batch size  1072 CPU 0.000010 GPU 0.000017 CPU/GPU 0.556317
Batch size  1080 CPU 0.000009 GPU 0.000017 CPU/GPU 0.508902
Batch size  1088 CPU 0.000009 GPU 0.000017 CPU/GPU 0.512042
Batch size  1096 CPU 0.000010 GPU 0.000017 CPU/GPU 0.555604
Batch size  1104 CPU 0.000009 GPU 0.000020 CPU/GPU 0.441662
Batch size  1112 CPU 0.000010 GPU 0.000017 CPU/GPU 0.574106
Batch size  1120 CPU 0.000009 GPU 0.000017 CPU/GPU 0.516093
Batch size  1128 CPU 0.000009 GPU 0.000017 CPU/GPU 0.530402
Batch size  1136 CPU 0.000009 GPU 0.000017 CPU/GPU 0.529192
Batch size  1144 CPU 0.000009 GPU 0.000017 CPU/GPU 0.531616
Batch size  1152 CPU 0.000009 GPU 0.000017 CPU/GPU 0.527945
Batch size  1160 CPU 0.000009 GPU 0.000017 CPU/GPU 0.541018
Batch size  1168 CPU 0.000009 GPU 0.000017 CPU/GPU 0.543413
Batch size  1176 CPU 0.000009 GPU 0.000017 CPU/GPU 0.542609
Batch size  1184 CPU 0.000009 GPU 0.000017 CPU/GPU 0.543421
Batch size  1192 CPU 0.000009 GPU 0.000017 CPU/GPU 0.548706
Batch size  1200 CPU 0.000010 GPU 0.000017 CPU/GPU 0.550798
Batch size  1208 CPU 0.000010 GPU 0.000017 CPU/GPU 0.552998
Batch size  1216 CPU 0.000010 GPU 0.000017 CPU/GPU 0.558890
