Batch size  8 CPU 0.000000 GPU 0.000029 CPU/GPU 0.015521
Batch size  16 CPU 0.000001 GPU 0.000028 CPU/GPU 0.018364
Batch size  24 CPU 0.000001 GPU 0.000029 CPU/GPU 0.021493
Batch size  32 CPU 0.000001 GPU 0.000028 CPU/GPU 0.025733
Batch size  40 CPU 0.000001 GPU 0.000030 CPU/GPU 0.026601
Batch size  48 CPU 0.000001 GPU 0.000029 CPU/GPU 0.028765
Batch size  56 CPU 0.000001 GPU 0.000029 CPU/GPU 0.032979
Batch size  64 CPU 0.000001 GPU 0.000029 CPU/GPU 0.034994
Batch size  72 CPU 0.000001 GPU 0.000029 CPU/GPU 0.036635
Batch size  80 CPU 0.000001 GPU 0.000029 CPU/GPU 0.040030
Batch size  88 CPU 0.000001 GPU 0.000029 CPU/GPU 0.041942
Batch size  96 CPU 0.000001 GPU 0.000028 CPU/GPU 0.045347
Batch size  104 CPU 0.000001 GPU 0.000028 CPU/GPU 0.047462
Batch size  112 CPU 0.000001 GPU 0.000028 CPU/GPU 0.049677
Batch size  120 CPU 0.000001 GPU 0.000029 CPU/GPU 0.050895
Batch size  128 CPU 0.000002 GPU 0.000029 CPU/GPU 0.054597
Batch size  136 CPU 0.000002 GPU 0.000029 CPU/GPU 0.057123
Batch size  144 CPU 0.000002 GPU 0.000029 CPU/GPU 0.059471
Batch size  152 CPU 0.000002 GPU 0.000029 CPU/GPU 0.062053
Batch size  160 CPU 0.000002 GPU 0.000029 CPU/GPU 0.065728
Batch size  168 CPU 0.000002 GPU 0.000029 CPU/GPU 0.064571
Batch size  176 CPU 0.000002 GPU 0.000029 CPU/GPU 0.069116
Batch size  184 CPU 0.000002 GPU 0.000029 CPU/GPU 0.070445
Batch size  192 CPU 0.000002 GPU 0.000029 CPU/GPU 0.072889
Batch size  200 CPU 0.000002 GPU 0.000029 CPU/GPU 0.072830
Batch size  208 CPU 0.000002 GPU 0.000029 CPU/GPU 0.077548
Batch size  216 CPU 0.000002 GPU 0.000029 CPU/GPU 0.079198
Batch size  224 CPU 0.000002 GPU 0.000029 CPU/GPU 0.081322
Batch size  232 CPU 0.000002 GPU 0.000029 CPU/GPU 0.085096
Batch size  240 CPU 0.000003 GPU 0.000029 CPU/GPU 0.087631
Batch size  248 CPU 0.000002 GPU 0.000029 CPU/GPU 0.084767
Batch size  256 CPU 0.000003 GPU 0.000029 CPU/GPU 0.088020
Batch size  264 CPU 0.000003 GPU 0.000029 CPU/GPU 0.091225
Batch size  272 CPU 0.000003 GPU 0.000029 CPU/GPU 0.092469
Batch size  280 CPU 0.000003 GPU 0.000029 CPU/GPU 0.097532
Batch size  288 CPU 0.000003 GPU 0.000030 CPU/GPU 0.096272
Batch size  296 CPU 0.000003 GPU 0.000029 CPU/GPU 0.099504
Batch size  304 CPU 0.000003 GPU 0.000029 CPU/GPU 0.103800
