# With hugepahes and interleaving
Batch size = 608, CPU: 0.000139, GPU: 0.000163, CPU/GPU: 0.850125
Batch size = 616, CPU: 0.000147, GPU: 0.000139, CPU/GPU: 1.058386
Batch size = 624, CPU: 0.000142, GPU: 0.000167, CPU/GPU: 0.852560
Batch size = 632, CPU: 0.000151, GPU: 0.000150, CPU/GPU: 1.005625
Batch size = 640, CPU: 0.000145, GPU: 0.000162, CPU/GPU: 0.894712
Batch size = 648, CPU: 0.000154, GPU: 0.000171, CPU/GPU: 0.900371
Batch size = 656, CPU: 0.000150, GPU: 0.000168, CPU/GPU: 0.893257
Batch size = 664, CPU: 0.000158, GPU: 0.000149, CPU/GPU: 1.060244
Batch size = 672, CPU: 0.000153, GPU: 0.000148, CPU/GPU: 1.039355
Batch size = 680, CPU: 0.000169, GPU: 0.000156, CPU/GPU: 1.085431
Batch size = 688, CPU: 0.000165, GPU: 0.000164, CPU/GPU: 1.003801
Batch size = 696, CPU: 0.000158, GPU: 0.000142, CPU/GPU: 1.107450
Batch size = 704, CPU: 0.000168, GPU: 0.000157, CPU/GPU: 1.068595
Batch size = 712, CPU: 0.000160, GPU: 0.000173, CPU/GPU: 0.927840
Batch size = 720, CPU: 0.000170, GPU: 0.000157, CPU/GPU: 1.082293
Batch size = 728, CPU: 0.000164, GPU: 0.000147, CPU/GPU: 1.112799
Batch size = 736, CPU: 0.000175, GPU: 0.000163, CPU/GPU: 1.069194
Batch size = 744, CPU: 0.000168, GPU: 0.000164, CPU/GPU: 1.026406
Batch size = 752, CPU: 0.000179, GPU: 0.000147, CPU/GPU: 1.214457
Batch size = 760, CPU: 0.000171, GPU: 0.000164, CPU/GPU: 1.043358
Batch size = 768, CPU: 0.000181, GPU: 0.000138, CPU/GPU: 1.308426
Batch size = 776, CPU: 0.000176, GPU: 0.000148, CPU/GPU: 1.185806
Batch size = 784, CPU: 0.000185, GPU: 0.000152, CPU/GPU: 1.216586
Batch size = 792, CPU: 0.000180, GPU: 0.000141, CPU/GPU: 1.275799
Batch size = 800, CPU: 0.000188, GPU: 0.000151, CPU/GPU: 1.243364
Batch size = 808, CPU: 0.000183, GPU: 0.000151, CPU/GPU: 1.218049
Batch size = 816, CPU: 0.000192, GPU: 0.000169, CPU/GPU: 1.138520
Batch size = 824, CPU: 0.000186, GPU: 0.000155, CPU/GPU: 1.199666
Batch size = 832, CPU: 0.000195, GPU: 0.000149, CPU/GPU: 1.310470
Batch size = 840, CPU: 0.000192, GPU: 0.000143, CPU/GPU: 1.340821
Batch size = 848, CPU: 0.000199, GPU: 0.000152, CPU/GPU: 1.307736
Batch size = 856, CPU: 0.000194, GPU: 0.000172, CPU/GPU: 1.128617
Batch size = 864, CPU: 0.000204, GPU: 0.000168, CPU/GPU: 1.215639
Batch size = 872, CPU: 0.000199, GPU: 0.000149, CPU/GPU: 1.335860
Batch size = 880, CPU: 0.000208, GPU: 0.000162, CPU/GPU: 1.282345
Batch size = 888, CPU: 0.000202, GPU: 0.000160, CPU/GPU: 1.261761
Batch size = 896, CPU: 0.000212, GPU: 0.000170, CPU/GPU: 1.247127
Batch size = 904, CPU: 0.000206, GPU: 0.000154, CPU/GPU: 1.339633
Batch size = 912, CPU: 0.000215, GPU: 0.000166, CPU/GPU: 1.300939
Batch size = 920, CPU: 0.000209, GPU: 0.000163, CPU/GPU: 1.287586
Batch size = 928, CPU: 0.000220, GPU: 0.000157, CPU/GPU: 1.396206
Batch size = 936, CPU: 0.000213, GPU: 0.000161, CPU/GPU: 1.323689
Batch size = 944, CPU: 0.000213, GPU: 0.000152, CPU/GPU: 1.394696
Batch size = 952, CPU: 0.000215, GPU: 0.000154, CPU/GPU: 1.399840
Batch size = 960, CPU: 0.000225, GPU: 0.000153, CPU/GPU: 1.468346
Batch size = 968, CPU: 0.000220, GPU: 0.000153, CPU/GPU: 1.445194
Batch size = 976, CPU: 0.000227, GPU: 0.000170, CPU/GPU: 1.335206
Batch size = 984, CPU: 0.000220, GPU: 0.000172, CPU/GPU: 1.283354
Batch size = 992, CPU: 0.000230, GPU: 0.000172, CPU/GPU: 1.338667
Batch size = 1000, CPU: 0.000230, GPU: 0.000168, CPU/GPU: 1.363343
Batch size = 1008, CPU: 0.000244, GPU: 0.000163, CPU/GPU: 1.496819
Batch size = 1016, CPU: 0.000228, GPU: 0.000154, CPU/GPU: 1.480113
Batch size = 1024, CPU: 0.000242, GPU: 0.000164, CPU/GPU: 1.478501
Batch size = 1032, CPU: 0.000232, GPU: 0.000145, CPU/GPU: 1.599990
Batch size = 1040, CPU: 0.000242, GPU: 0.000157, CPU/GPU: 1.536994
Batch size = 1048, CPU: 0.000238, GPU: 0.000154, CPU/GPU: 1.549916
Batch size = 1056, CPU: 0.000245, GPU: 0.000165, CPU/GPU: 1.489183
Batch size = 1064, CPU: 0.000241, GPU: 0.000168, CPU/GPU: 1.434479
Batch size = 1072, CPU: 0.000250, GPU: 0.000147, CPU/GPU: 1.697307
Batch size = 1080, CPU: 0.000242, GPU: 0.000152, CPU/GPU: 1.594743
Batch size = 1088, CPU: 0.000254, GPU: 0.000175, CPU/GPU: 1.451386
Batch size = 1096, CPU: 0.000250, GPU: 0.000172, CPU/GPU: 1.452860
Batch size = 1104, CPU: 0.000259, GPU: 0.000154, CPU/GPU: 1.681373
Batch size = 1112, CPU: 0.000253, GPU: 0.000155, CPU/GPU: 1.626624
Batch size = 1120, CPU: 0.000260, GPU: 0.000152, CPU/GPU: 1.705880
Batch size = 1128, CPU: 0.000256, GPU: 0.000167, CPU/GPU: 1.531653
Batch size = 1136, CPU: 0.000266, GPU: 0.000148, CPU/GPU: 1.795001
Batch size = 1144, CPU: 0.000260, GPU: 0.000161, CPU/GPU: 1.616122
Batch size = 1152, CPU: 0.000268, GPU: 0.000174, CPU/GPU: 1.543494
Batch size = 1160, CPU: 0.000265, GPU: 0.000174, CPU/GPU: 1.515944
Batch size = 1168, CPU: 0.000273, GPU: 0.000159, CPU/GPU: 1.710835
Batch size = 1176, CPU: 0.000267, GPU: 0.000175, CPU/GPU: 1.530393
Batch size = 1184, CPU: 0.000276, GPU: 0.000151, CPU/GPU: 1.827021
Batch size = 1192, CPU: 0.000272, GPU: 0.000151, CPU/GPU: 1.807636
Batch size = 1200, CPU: 0.000280, GPU: 0.000179, CPU/GPU: 1.560869
Batch size = 1208, CPU: 0.000275, GPU: 0.000173, CPU/GPU: 1.585456
Batch size = 1216, CPU: 0.000285, GPU: 0.000166, CPU/GPU: 1.715425
Batch size = 1224, CPU: 0.000278, GPU: 0.000172, CPU/GPU: 1.616854
Batch size = 1232, CPU: 0.000288, GPU: 0.000161, CPU/GPU: 1.793405
Batch size = 1240, CPU: 0.000284, GPU: 0.000192, CPU/GPU: 1.478270
Batch size = 1248, CPU: 0.000300, GPU: 0.000172, CPU/GPU: 1.749537
Batch size = 1256, CPU: 0.000289, GPU: 0.000163, CPU/GPU: 1.777961
Batch size = 1264, CPU: 0.000297, GPU: 0.000162, CPU/GPU: 1.835450
Batch size = 1272, CPU: 0.000291, GPU: 0.000151, CPU/GPU: 1.928167
Batch size = 1280, CPU: 0.000298, GPU: 0.000179, CPU/GPU: 1.670247
Batch size = 1288, CPU: 0.000295, GPU: 0.000174, CPU/GPU: 1.696597
Batch size = 1296, CPU: 0.000306, GPU: 0.000177, CPU/GPU: 1.724135
Batch size = 1304, CPU: 0.000297, GPU: 0.000174, CPU/GPU: 1.699759
Batch size = 1312, CPU: 0.000307, GPU: 0.000167, CPU/GPU: 1.837585
Batch size = 1320, CPU: 0.000507, GPU: 0.000169, CPU/GPU: 2.998734
Batch size = 1328, CPU: 0.000320, GPU: 0.000169, CPU/GPU: 1.890669
Batch size = 1336, CPU: 0.000304, GPU: 0.000164, CPU/GPU: 1.853922
Batch size = 1344, CPU: 0.000313, GPU: 0.000181, CPU/GPU: 1.725169
Batch size = 1352, CPU: 0.000308, GPU: 0.000169, CPU/GPU: 1.825781
Batch size = 1360, CPU: 0.000317, GPU: 0.000165, CPU/GPU: 1.918526
Batch size = 1368, CPU: 0.000311, GPU: 0.000168, CPU/GPU: 1.850012
Batch size = 1376, CPU: 0.000319, GPU: 0.000164, CPU/GPU: 1.943675
Batch size = 1384, CPU: 0.000313, GPU: 0.000198, CPU/GPU: 1.578831
Batch size = 1392, CPU: 0.000325, GPU: 0.000167, CPU/GPU: 1.952812
Batch size = 1400, CPU: 0.000325, GPU: 0.000169, CPU/GPU: 1.930591
Batch size = 1408, CPU: 0.000326, GPU: 0.000159, CPU/GPU: 2.042960
Batch size = 1416, CPU: 0.000320, GPU: 0.000179, CPU/GPU: 1.786249
Batch size = 1424, CPU: 0.000331, GPU: 0.000184, CPU/GPU: 1.794918
Batch size = 1432, CPU: 0.000326, GPU: 0.000179, CPU/GPU: 1.822828
Batch size = 1440, CPU: 0.000334, GPU: 0.000186, CPU/GPU: 1.799522
Batch size = 1448, CPU: 0.000351, GPU: 0.000200, CPU/GPU: 1.751438
Batch size = 1456, CPU: 0.000341, GPU: 0.000178, CPU/GPU: 1.917666
Batch size = 1464, CPU: 0.000332, GPU: 0.000175, CPU/GPU: 1.901815
Batch size = 1472, CPU: 0.000338, GPU: 0.000183, CPU/GPU: 1.854310
Batch size = 1480, CPU: 0.000336, GPU: 0.000202, CPU/GPU: 1.668239
Batch size = 1488, CPU: 0.000354, GPU: 0.000188, CPU/GPU: 1.883783
Batch size = 1496, CPU: 0.000340, GPU: 0.000166, CPU/GPU: 2.043692
Batch size = 1504, CPU: 0.000349, GPU: 0.000177, CPU/GPU: 1.978513
Batch size = 1512, CPU: 0.000342, GPU: 0.000171, CPU/GPU: 1.997076
