# Without using hugepages and inteleaving
Batch size = 608, CPU: 0.000712, GPU: 0.000171, CPU/GPU: 4.157841
Batch size = 616, CPU: 0.000702, GPU: 0.000151, CPU/GPU: 4.653994
Batch size = 624, CPU: 0.000702, GPU: 0.000146, CPU/GPU: 4.807389
Batch size = 632, CPU: 0.000719, GPU: 0.000145, CPU/GPU: 4.943982
Batch size = 640, CPU: 0.000777, GPU: 0.000145, CPU/GPU: 5.365272
Batch size = 648, CPU: 0.000743, GPU: 0.000155, CPU/GPU: 4.797264
Batch size = 656, CPU: 0.000731, GPU: 0.000151, CPU/GPU: 4.835075
Batch size = 664, CPU: 0.000750, GPU: 0.000151, CPU/GPU: 4.959772
Batch size = 672, CPU: 0.000765, GPU: 0.000157, CPU/GPU: 4.870339
Batch size = 680, CPU: 0.000765, GPU: 0.000151, CPU/GPU: 5.071559
Batch size = 688, CPU: 0.000787, GPU: 0.000163, CPU/GPU: 4.819484
Batch size = 696, CPU: 0.000778, GPU: 0.000158, CPU/GPU: 4.938653
Batch size = 704, CPU: 0.000771, GPU: 0.000151, CPU/GPU: 5.112421
Batch size = 712, CPU: 0.000791, GPU: 0.000154, CPU/GPU: 5.147217
Batch size = 720, CPU: 0.000790, GPU: 0.000166, CPU/GPU: 4.757351
Batch size = 728, CPU: 0.000818, GPU: 0.000152, CPU/GPU: 5.372602
Batch size = 736, CPU: 0.000794, GPU: 0.000167, CPU/GPU: 4.761155
Batch size = 744, CPU: 0.000817, GPU: 0.000168, CPU/GPU: 4.857965
Batch size = 752, CPU: 0.000821, GPU: 0.000170, CPU/GPU: 4.820220
Batch size = 760, CPU: 0.000825, GPU: 0.000156, CPU/GPU: 5.276506
Batch size = 768, CPU: 0.000849, GPU: 0.000149, CPU/GPU: 5.696462
Batch size = 776, CPU: 0.000850, GPU: 0.000167, CPU/GPU: 5.094237
Batch size = 784, CPU: 0.000850, GPU: 0.000157, CPU/GPU: 5.414033
Batch size = 792, CPU: 0.000867, GPU: 0.000176, CPU/GPU: 4.929151
Batch size = 800, CPU: 0.000864, GPU: 0.000156, CPU/GPU: 5.536265
Batch size = 808, CPU: 0.000878, GPU: 0.000158, CPU/GPU: 5.563705
Batch size = 816, CPU: 0.000886, GPU: 0.000168, CPU/GPU: 5.279584
Batch size = 824, CPU: 0.000881, GPU: 0.000160, CPU/GPU: 5.489564
Batch size = 832, CPU: 0.000887, GPU: 0.000154, CPU/GPU: 5.743986
Batch size = 840, CPU: 0.000905, GPU: 0.000160, CPU/GPU: 5.654144
Batch size = 848, CPU: 0.000911, GPU: 0.000168, CPU/GPU: 5.430601
Batch size = 856, CPU: 0.000919, GPU: 0.000157, CPU/GPU: 5.841916
Batch size = 864, CPU: 0.000919, GPU: 0.000179, CPU/GPU: 5.131216
Batch size = 872, CPU: 0.000936, GPU: 0.000175, CPU/GPU: 5.340725
Batch size = 880, CPU: 0.000977, GPU: 0.000148, CPU/GPU: 6.602818
Batch size = 888, CPU: 0.000947, GPU: 0.000151, CPU/GPU: 6.260009
Batch size = 896, CPU: 0.000941, GPU: 0.000164, CPU/GPU: 5.738496
Batch size = 904, CPU: 0.001000, GPU: 0.000167, CPU/GPU: 5.985036
Batch size = 912, CPU: 0.000971, GPU: 0.000153, CPU/GPU: 6.351653
Batch size = 920, CPU: 0.000978, GPU: 0.000184, CPU/GPU: 5.320483
Batch size = 928, CPU: 0.000976, GPU: 0.000162, CPU/GPU: 6.036349
Batch size = 936, CPU: 0.000993, GPU: 0.000154, CPU/GPU: 6.454503
Batch size = 944, CPU: 0.000998, GPU: 0.000170, CPU/GPU: 5.886070
Batch size = 952, CPU: 0.000997, GPU: 0.000173, CPU/GPU: 5.761143
Batch size = 960, CPU: 0.000997, GPU: 0.000167, CPU/GPU: 5.969163
Batch size = 968, CPU: 0.001004, GPU: 0.000154, CPU/GPU: 6.515078
Batch size = 976, CPU: 0.001021, GPU: 0.000153, CPU/GPU: 6.663407
Batch size = 984, CPU: 0.001021, GPU: 0.000184, CPU/GPU: 5.536940
Batch size = 992, CPU: 0.001030, GPU: 0.000156, CPU/GPU: 6.592530
Batch size = 1000, CPU: 0.001067, GPU: 0.000162, CPU/GPU: 6.602183
Batch size = 1008, CPU: 0.001053, GPU: 0.000169, CPU/GPU: 6.242678
Batch size = 1016, CPU: 0.001047, GPU: 0.000175, CPU/GPU: 5.988271
Batch size = 1024, CPU: 0.001051, GPU: 0.000156, CPU/GPU: 6.730213
Batch size = 1032, CPU: 0.001078, GPU: 0.000167, CPU/GPU: 6.457396
Batch size = 1040, CPU: 0.001076, GPU: 0.000163, CPU/GPU: 6.612862
Batch size = 1048, CPU: 0.001078, GPU: 0.000157, CPU/GPU: 6.863790
Batch size = 1056, CPU: 0.001086, GPU: 0.000156, CPU/GPU: 6.959786
Batch size = 1064, CPU: 0.001085, GPU: 0.000163, CPU/GPU: 6.652516
Batch size = 1072, CPU: 0.001091, GPU: 0.000175, CPU/GPU: 6.232043
Batch size = 1080, CPU: 0.001103, GPU: 0.000170, CPU/GPU: 6.499585
Batch size = 1088, CPU: 0.001103, GPU: 0.000167, CPU/GPU: 6.593967
Batch size = 1096, CPU: 0.001148, GPU: 0.000162, CPU/GPU: 7.091810
Batch size = 1104, CPU: 0.001119, GPU: 0.000169, CPU/GPU: 6.615598
Batch size = 1112, CPU: 0.001132, GPU: 0.000168, CPU/GPU: 6.735715
Batch size = 1120, CPU: 0.001125, GPU: 0.000174, CPU/GPU: 6.465423
Batch size = 1128, CPU: 0.001148, GPU: 0.000177, CPU/GPU: 6.491248
Batch size = 1136, CPU: 0.001139, GPU: 0.000159, CPU/GPU: 7.165631
Batch size = 1144, CPU: 0.001145, GPU: 0.000168, CPU/GPU: 6.820752
Batch size = 1152, CPU: 0.001158, GPU: 0.000172, CPU/GPU: 6.713796
Batch size = 1160, CPU: 0.001169, GPU: 0.000180, CPU/GPU: 6.483508
Batch size = 1168, CPU: 0.001181, GPU: 0.000196, CPU/GPU: 6.014953
Batch size = 1176, CPU: 0.001167, GPU: 0.000156, CPU/GPU: 7.492631
Batch size = 1184, CPU: 0.001195, GPU: 0.000176, CPU/GPU: 6.797653
Batch size = 1192, CPU: 0.001190, GPU: 0.000160, CPU/GPU: 7.427958
Batch size = 1200, CPU: 0.001186, GPU: 0.000161, CPU/GPU: 7.352240
Batch size = 1208, CPU: 0.001205, GPU: 0.000169, CPU/GPU: 7.144821
Batch size = 1216, CPU: 0.001210, GPU: 0.000201, CPU/GPU: 6.015328
Batch size = 1224, CPU: 0.001228, GPU: 0.000178, CPU/GPU: 6.904799
Batch size = 1232, CPU: 0.001201, GPU: 0.000169, CPU/GPU: 7.116856
Batch size = 1240, CPU: 0.001233, GPU: 0.000166, CPU/GPU: 7.413980
Batch size = 1248, CPU: 0.001223, GPU: 0.000167, CPU/GPU: 7.330685
Batch size = 1256, CPU: 0.001234, GPU: 0.000176, CPU/GPU: 6.992707
Batch size = 1264, CPU: 0.001256, GPU: 0.000194, CPU/GPU: 6.466279
Batch size = 1272, CPU: 0.001263, GPU: 0.000177, CPU/GPU: 7.139581
Batch size = 1280, CPU: 0.001288, GPU: 0.000171, CPU/GPU: 7.520562
Batch size = 1288, CPU: 0.001262, GPU: 0.000179, CPU/GPU: 7.056973
Batch size = 1296, CPU: 0.001268, GPU: 0.000171, CPU/GPU: 7.430755
Batch size = 1304, CPU: 0.001271, GPU: 0.000164, CPU/GPU: 7.734709
Batch size = 1312, CPU: 0.001278, GPU: 0.000199, CPU/GPU: 6.430731
Batch size = 1320, CPU: 0.001281, GPU: 0.000164, CPU/GPU: 7.787770
Batch size = 1328, CPU: 0.001287, GPU: 0.000164, CPU/GPU: 7.844390
Batch size = 1336, CPU: 0.001308, GPU: 0.000164, CPU/GPU: 7.955116
Batch size = 1344, CPU: 0.001336, GPU: 0.000205, CPU/GPU: 6.504415
